colegio;PRODUCTO;TALLA;VALOR AÑO PRESENTE;ID_BUSQUEDA;2022;2023;2024;2025;2026;2027;2028;2029
nuestra señora del carmen;camiseta fisica;S;55000;nuestra señora del carmen_camiseta fisica_S;42000;42000;42000;49000;55000;61000;68000;75000
nuestra señora del carmen;camiseta fisica;M;55000;nuestra señora del carmen_camiseta fisica_M;42000;42000;47000;49000;55000;61000;68000;75000
nuestra señora del carmen;camiseta fisica;L;58000;nuestra señora del carmen_camiseta fisica_L;42000;42000;47000;51000;58000;64000;71000;79000
nuestra señora del carmen;camiseta fisica;XL;58000;nuestra señora del carmen_camiseta fisica_XL;42000;;;51000;58000;64000;71000;79000
nuestra señora del carmen;bombacho;2;52000;nuestra señora del carmen_bombacho_2;39000;39000;43000;46000;52000;58000;64000;71000
nuestra señora del carmen;bombacho;4;52000;nuestra señora del carmen_bombacho_4;39000;39000;43000;46000;52000;58000;64000;71000
nuestra señora del carmen;bombacho;6;52000;nuestra señora del carmen_bombacho_6;39000;39000;43000;46000;52000;58000;64000;71000
nuestra señora del carmen;bombacho;8;54000;nuestra señora del carmen_bombacho_8;41000;41000;41000;48000;54000;60000;66000;73000
nuestra señora del carmen;bombacho;10;54000;nuestra señora del carmen_bombacho_10;41000;41000;41000;48000;54000;60000;66000;73000
nuestra señora del carmen;bombacho;12;56000;nuestra señora del carmen_bombacho_12;41000;41000;45000;50000;56000;62000;69000;76000
nuestra señora del carmen;bombacho;14;56000;nuestra señora del carmen_bombacho_14;42000;42000;47000;50000;56000;62000;69000;76000
nuestra señora del carmen;bombacho;16;59000;nuestra señora del carmen_bombacho_16;42000;42000;47000;52000;59000;65000;72000;80000
nuestra señora del carmen;bombacho;S;59000;nuestra señora del carmen_bombacho_S;43000;43000;48000;52000;59000;65000;72000;80000
nuestra señora del carmen;bombacho;M;61000;nuestra señora del carmen_bombacho_M;43000;43000;43000;54000;61000;68000;75000;83000
nuestra señora del carmen;bombacho;L;61000;nuestra señora del carmen_bombacho_L;44000;44000;49000;54000;61000;68000;75000;83000
nuestra señora del carmen;bombacho;XL;62000;nuestra señora del carmen_bombacho_XL;44000;;;55000;62000;69000;76000;84000
nuestra señora del carmen;cordon;NA;8000;nuestra señora del carmen_cordon_NA;;;;7000;8000;9000;10000;11000
gimnasio plaza feliz;blusa;2;41000;gimnasio plaza feliz_blusa_2;;32000;25000;36000;41000;46000;51000;57000
gimnasio plaza feliz;blusa;4;41000;gimnasio plaza feliz_blusa_4;28000;32000;31000;36000;41000;46000;51000;57000
gimnasio plaza feliz;blusa;6;41000;gimnasio plaza feliz_blusa_6;28000;32000;35000;36000;41000;46000;51000;57000
gimnasio plaza feliz;blusa;8;41000;gimnasio plaza feliz_blusa_8;28000;32000;35000;36000;41000;46000;51000;57000
gimnasio plaza feliz;blusa;10;43000;gimnasio plaza feliz_blusa_10;31000;36000;40000;38000;43000;48000;53000;59000
